timestamp,round,threat_enemy_id,threat_enemy_type,threat_enemy_distance,threat_enemy_angle,threat_enemy_x,threat_enemy_y,threat_enemy_z,north_threat,northeast_threat,east_threat,southeast_threat,south_threat,southwest_threat,west_threat,northwest_threat
2025-12-24 20:13:41.291,12,5,Soldier,26.49,-59.84,-18.37,17.0,10.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-12-24 20:15:12.757,13,3,Soldier,29.55,-49.02,-18.84,17.0,16.37,0.005,0.0,0.0,0.0,0.0,0.007,0.002,0.0
2025-12-24 20:16:28.832,14,2,Soldier,27.88,141.33,14.35,17.0,-17.93,0.0,0.0,0.0,0.0,0.0,0.0,0.006,0.0
2025-12-24 20:16:56.962,15,4,Soldier,33.42,60.12,25.52,17.0,14.66,0.0,0.0,0.0,0.004,0.0,0.0,0.0,0.003
2025-12-24 20:17:32.680,16,19,Soldier,26.4,151.99,9.93,17.0,-18.66,0.0,0.023,0.012,0.003,0.0,0.012,0.046,0.019
2025-12-24 20:18:33.595,17,12,Soldier,19.43,18.41,3.56,17.0,10.71,0.086,0.038,0.0,0.0,0.0,0.0,0.0,0.0
2025-12-24 20:18:58.857,18,20,Soldier,19.9,123.34,10.09,17.0,-6.64,0.005,0.0,0.045,0.0,0.0,0.01,0.003,0.029
2025-12-24 20:19:09.618,19,5,Soldier,28.25,-59.25,-20.11,17.0,11.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-12-24 20:19:17.740,20,13,Soldier,21.56,139.88,9.44,17.0,-11.2,0.0,0.005,0.0,0.004,0.006,0.008,0.022,0.0
